org,metric,period,previous_count,current_count,change,change_pct,change_per_week,programs,city,state,previous_at,current_at,elapsed_days,from_zero,ranking_eligible,source_url
anokacountysomn,totalMaxCameras,previous,500,500,0,0.0,0.0,Anoka County Real Time Crime Center,Anoka County,MN,2026-09-15T23:08:28Z,2026-09-15T23:17:39Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/anokacountysomn/stats/
anokacountysomn,subscribedCameras,previous,634,634,0,0.0,0.0,Anoka County Real Time Crime Center,Anoka County,MN,2026-09-15T23:08:28Z,2026-09-15T23:17:39Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/anokacountysomn/stats/
apachejunctionpdaz,totalRegisteredCameras,previous,0,0,0,,0.0,Connect Apache Junction,Apache Junction,AZ,2026-09-15T23:08:29Z,2026-09-15T23:17:40Z,0.006377,True,False,https://api.fususone.com/api/public/organizations/apachejunctionpdaz/stats/
apachejunctionpdaz,totalIntegratedCameras,previous,199,199,0,0.0,0.0,Connect Apache Junction,Apache Junction,AZ,2026-09-15T23:08:29Z,2026-09-15T23:17:40Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/apachejunctionpdaz/stats/
apachejunctionpdaz,totalOwnedCameras,previous,199,199,0,0.0,0.0,Connect Apache Junction,Apache Junction,AZ,2026-09-15T23:08:29Z,2026-09-15T23:17:40Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/apachejunctionpdaz/stats/
apachejunctionpdaz,totalSharedCameras,previous,0,0,0,,0.0,Connect Apache Junction,Apache Junction,AZ,2026-09-15T23:08:29Z,2026-09-15T23:17:40Z,0.006377,True,False,https://api.fususone.com/api/public/organizations/apachejunctionpdaz/stats/
apachejunctionpdaz,totalMaxCameras,previous,225,225,0,0.0,0.0,Connect Apache Junction,Apache Junction,AZ,2026-09-15T23:08:29Z,2026-09-15T23:17:40Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/apachejunctionpdaz/stats/
apachejunctionpdaz,subscribedCameras,previous,191,191,0,0.0,0.0,Connect Apache Junction,Apache Junction,AZ,2026-09-15T23:08:29Z,2026-09-15T23:17:40Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/apachejunctionpdaz/stats/
apopkapd,totalRegisteredCameras,previous,174,174,0,0.0,0.0,Connect Apopka,Apopka,FL,2026-09-15T23:08:30Z,2026-09-15T23:17:41Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/apopkapd/stats/
apopkapd,totalIntegratedCameras,previous,7852,7852,0,0.0,0.0,Connect Apopka,Apopka,FL,2026-09-15T23:08:30Z,2026-09-15T23:17:41Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/apopkapd/stats/
apopkapd,totalOwnedCameras,previous,224,224,0,0.0,0.0,Connect Apopka,Apopka,FL,2026-09-15T23:08:30Z,2026-09-15T23:17:41Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/apopkapd/stats/
